Train Set 	 Validation Set 
0.6362707626185551 	 13.591696101554884 
0.19765372780326643 	 12.93225395098532 
0.08490569162715907 	 9.377632959079556 
0.02777937654664145 	 0.4002532712001052 
0.0023678724010129204 	 0.0005370546796259792 
0.00014414470358354716 	 2.0627692729272044e-05 
9.954110706435032e-05 	 1.2647185389178643e-05 
0.0011482632138858078 	 1.0396410908603969e-05 
9.664152546127352e-06 	 6.608337942166947e-06 
5.691167733511573e-06 	 5.0588412637233865e-06 
4.531378732859263e-06 	 4.16589606084802e-06 
3.7531562261980326e-06 	 3.478600866226383e-06 
2.563935508083934e-05 	 3.2870579408873332e-06 
2.9680547229101317e-06 	 2.7743940484385586e-06 
2.5608754878508455e-06 	 2.428894392689324e-06 
2.2705058083882587e-06 	 2.1743551605640162e-06 
2.614765043038821e-05 	 2.0486500577432383e-06 
1.9211688846089884e-06 	 1.8457132076846647e-06 
1.7403080011356724e-06 	 1.681976889188014e-06 
1.5991258730224873e-06 	 1.5580789490471426e-06 
1.4816641934067568e-06 	 1.4578163220132958e-06 
1.3811893988468198e-06 	 1.3521586058402514e-06 
1.2990688506759692e-06 	 1.2950165333346661e-06 
1.2182162688793803e-06 	 1.1977754062475015e-06 
0.00012988399676467258 	 1.593897272682918e-06 
1.346176675999689e-06 	 1.251286168054184e-06 
1.1650495012191477e-06 	 1.1324610393398408e-06 
1.0756050433508043e-06 	 1.0570226069589712e-06 
1.0085087933524584e-06 	 9.965068799817262e-07 
9.53484847569666e-07 	 9.401502634112187e-07 
9.104074535345348e-07 	 8.965742098249495e-07 
8.920219765656364e-07 	 8.75374024586202e-07 
8.368303840300625e-07 	 8.29051175430693e-07 
7.997717025408977e-07 	 7.958266172191477e-07 
7.697120525988269e-07 	 7.632808657349441e-07 
7.373965517269212e-07 	 7.333794993488986e-07 
7.145455290760642e-07 	 7.068223300383075e-07 
6.888276566869771e-07 	 6.857950192021219e-07 
6.663646033386553e-07 	 6.577987572607075e-07 
6.41011406738518e-07 	 6.365021863517609e-07 
6.244476692576344e-07 	 6.19464469887822e-07 
6.044581676764421e-07 	 5.995537146207009e-07 
5.856618746607479e-07 	 5.855262052742139e-07 
5.680423865254689e-07 	 5.674935092046531e-07 
5.51883846247079e-07 	 5.517709519654077e-07 
5.38316981693433e-07 	 5.397655135021911e-07 
5.228707732090491e-07 	 5.239452485202476e-07 
5.084262192406026e-07 	 5.086462488648227e-07 
4.955932218624504e-07 	 4.999307366542543e-07 
4.844061790564538e-07 	 4.840875035752557e-07 
4.725259348527432e-07 	 4.7399951143269895e-07 
4.622478266586921e-07 	 4.6522417721445285e-07 
4.5109693439469634e-07 	 4.5081300141572666e-07 
4.4160634231109425e-07 	 4.445374059138209e-07 
4.320395955952235e-07 	 4.3128429014942215e-07 
4.217435237863209e-07 	 4.204169995864606e-07 
4.127190516992533e-07 	 4.1184746646757367e-07 
4.0428543219211557e-07 	 4.036129617161229e-07 
3.9637339706008077e-07 	 3.963985321403355e-07 
3.878543722484243e-07 	 3.918478714743205e-07 
3.8039320863120035e-07 	 3.812037285136769e-07 
3.725053595383244e-07 	 3.7380498632877743e-07 
0.0002318630953768153 	 0.0032233647406682167 
0.00018453052119376317 	 8.418864782948764e-07 
7.304429991843351e-07 	 6.643249467926229e-07 
0.00011691388217994168 	 7.55270120487565e-07 
0.0006705468583452774 	 1.1900240951869322e-06 
8.05787555010595e-07 	 6.812708050514949e-07 
6.19075051443312e-07 	 5.847031842446873e-07 
0.0002555183546121821 	 1.2669547618398158e-05 
9.907868097050707e-06 	 6.73766943413245e-07 
2.6062029574937038e-05 	 6.098217168115252e-07 
5.599753257655999e-07 	 5.443030527252907e-07 
5.089494636235396e-07 	 4.989188304683181e-07 
4.768656158317527e-07 	 4.6659625495273834e-07 
4.5391005270412223e-07 	 4.4644165531692843e-07 
4.289347899572442e-07 	 4.252854763503676e-07 
4.097362705307566e-07 	 4.067310894596909e-07 
3.935877161329696e-07 	 3.9625875007353924e-07 
3.8161989146451893e-07 	 3.8150957605639554e-07 
3.680883695196813e-07 	 3.6726512879600566e-07 
3.5684588455056434e-07 	 3.5860617494824486e-07 
3.4595505349900575e-07 	 3.46117502270851e-07 
3.3632697246056175e-07 	 3.3930050946947936e-07 
3.283071532514432e-07 	 3.288862040006137e-07 
3.1993529385092815e-07 	 3.2208695989590355e-07 
3.1187492500668433e-07 	 3.148470437002779e-07 
3.053350297004129e-07 	 3.057637390251972e-07 
2.980116371814722e-07 	 2.9950412793699763e-07 
2.933447195962956e-07 	 2.9294471386206717e-07 
2.8636326459422285e-07 	 2.8653564425077045e-07 
2.8066622364821335e-07 	 2.824808139586367e-07 
2.7468742227838616e-07 	 2.755787181854715e-07 
2.695771794842818e-07 	 2.729416728691169e-07 
2.658049212396737e-07 	 2.6940461580855666e-07 
2.602442738531889e-07 	 2.6258913705879395e-07 
7.547385063798649e-06 	 3.1997228416585583e-07 
2.98954893504645e-07 	 2.9407077720921735e-07 
2.796830804628781e-07 	 2.8433970665075234e-07 
2.692948823438944e-07 	 2.69359938875838e-07 
